All calculations;C 2-29 MT ind;C 2-29 MT ind;N21\N21 DG;N23\N23 DG;N29\N29 DG
"b:tnow in s";"m:Psum:bus1 in MW";"m:Qsum:bus1 in Mvar";"m:u1 in p.u.";"m:u1 in p.u.";"m:u1 in p.u."
3.111667;0.172600;0.086400;1.004971;1.000000;1.021782
3.121667;0.172600;0.086400;1.004971;1.000000;1.021782
3.131667;0.172600;0.086400;1.004971;1.000000;1.021782
3.141667;0.172600;0.086400;1.004971;1.000000;1.021782
3.151667;0.172600;0.086400;1.004971;1.000000;1.021782
3.161667;0.172600;0.086400;1.004971;1.000000;1.021782
3.171667;0.172600;0.086400;1.004971;1.000000;1.021782
3.181667;0.172600;0.086400;1.004971;1.000000;1.021782
3.191667;0.172600;0.086400;1.004971;1.000000;1.021782
3.201667;0.172600;0.086400;1.004971;1.000000;1.021782
3.211667;0.172600;0.086400;1.004971;1.000000;1.021782
3.221667;0.172600;0.086400;1.004971;1.000000;1.021782
3.231667;0.172600;0.086400;1.004971;1.000000;1.021782
3.241667;0.172600;0.086400;1.004971;1.000000;1.021782
3.251667;0.172600;0.086400;1.004971;1.000000;1.021782
3.261667;0.172600;0.086400;1.004971;1.000000;1.021782
3.271667;0.172600;0.086400;1.004971;1.000000;1.021782
3.281667;0.172600;0.086400;1.004971;1.000000;1.021782
3.291667;0.172600;0.086400;1.004971;1.000000;1.021782
3.301667;0.172600;0.086400;1.004971;1.000000;1.021782
3.311667;0.172600;0.086400;1.004971;1.000000;1.021782
3.321667;0.172600;0.086400;1.004971;1.000000;1.021782
3.331667;0.172600;0.086400;1.004971;1.000000;1.021782
3.341667;0.172600;0.086400;1.004971;1.000000;1.021782
3.351667;0.172600;0.086400;1.004971;1.000000;1.021782
3.361667;0.172600;0.086400;1.004971;1.000000;1.021782
3.371667;0.172600;0.086400;1.004971;1.000000;1.021782
3.381667;0.172600;0.086400;1.004971;1.000000;1.021782
3.391667;0.172600;0.086400;1.004971;1.000000;1.021782
3.401667;0.172600;0.086400;1.004971;1.000000;1.021782
3.411667;0.172600;0.086400;1.004971;1.000000;1.021782
3.421667;0.172600;0.086400;1.004971;1.000000;1.021782
3.431667;0.172600;0.086400;1.004971;1.000000;1.021782
3.441667;0.172600;0.086400;1.004971;1.000000;1.021782
3.451667;0.172600;0.086400;1.004971;1.000000;1.021782
3.461667;0.172600;0.086400;1.004971;1.000000;1.021782
