All calculations;C 2-29 MT ind;C 2-29 MT ind;C 2-29 MT ind;C 2-29 MT ind;N28\N28;N29\N29 DG
"Time in s";"u1, Magnitude in p.u.";"Positive-Sequence Current, Magnitude in kA";"Total Active Power in MW";"Total Reactive Power in Mvar";"u1, Magnitude in p.u.";"u1, Magnitude in p.u."
2.401667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.411667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.421667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.431667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.441667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.451667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.461667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.471667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.481667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.491667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.501667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.511667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.521667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.531667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.541667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.551667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.561667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.571667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.581667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.591667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.601667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.611667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.621667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.631667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.641667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.651667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.661667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.671667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.681667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.691667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.701667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.711667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.721667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.731667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.741667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.751667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.761667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.771667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.781667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.791667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.801667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.811667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.821667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.831667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.841667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.851667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.861667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.871667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.881667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.891667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.901667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.911667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.921667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.931667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.941667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.951667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.961667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.971667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.981667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
2.991667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.001667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.011667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.021667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.031667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.041667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.051667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.061667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.071667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.081667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.091667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.101667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.111667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.121667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.131667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.141667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.151667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.161667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.171667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.181667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.191667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.201667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.211667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.221667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.231667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.241667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.251667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.261667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.271667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.281667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.291667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.301667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.311667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.321667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.331667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.341667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.351667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.361667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.371667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.381667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.391667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.401667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.411667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.421667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.431667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.441667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.451667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.461667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.471667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.481667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.491667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.501667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.511667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.521667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.531667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.541667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.551667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
3.561667;1.145266;0.001227;0.043400;0.022009;1.136041;1.145266
