All calculations;C 2-29 MT ind;C 2-29 MT ind;N21\N21 DG;N23\N23 DG;N29\N29 DG
"b:tnow in s";"m:Psum:bus1 in MW";"m:Qsum:bus1 in Mvar";"m:u1 in p.u.";"m:u1 in p.u.";"m:u1 in p.u."
3.321667;0.156101;0.079861;1.024560;1.027362;1.050005
3.331667;0.156101;0.079861;1.024560;1.027362;1.050005
3.341667;0.156101;0.079861;1.024560;1.027362;1.050005
3.351667;0.156101;0.079861;1.024560;1.027362;1.050005
3.361667;0.156101;0.079861;1.024560;1.027362;1.050005
3.371667;0.156101;0.079861;1.024560;1.027362;1.050005
3.381667;0.156101;0.079861;1.024560;1.027362;1.050005
3.391667;0.156101;0.079861;1.024560;1.027362;1.050005
3.401667;0.156101;0.079861;1.024560;1.027362;1.050005
3.411667;0.156101;0.079861;1.024560;1.027362;1.050005
3.421667;0.156101;0.079861;1.024560;1.027362;1.050005
3.431667;0.156101;0.079861;1.024560;1.027362;1.050005
3.441667;0.156101;0.079861;1.024560;1.027362;1.050005
3.451667;0.156101;0.079861;1.024560;1.027362;1.050005
3.461667;0.156101;0.079861;1.024560;1.027362;1.050005
3.471667;0.156101;0.079861;1.024560;1.027362;1.050005
3.481667;0.156101;0.079861;1.024560;1.027362;1.050005
3.491667;0.156101;0.079861;1.024560;1.027362;1.050005
3.501667;0.156101;0.079861;1.024560;1.027362;1.050005
3.511667;0.156101;0.079861;1.024560;1.027362;1.050005
3.521667;0.156101;0.079861;1.024560;1.027362;1.050005
3.531667;0.156101;0.079861;1.024560;1.027362;1.050005
3.541667;0.156101;0.079861;1.024560;1.027362;1.050005
3.551667;0.156101;0.079861;1.024560;1.027362;1.050005
3.561667;0.156101;0.079861;1.024560;1.027362;1.050005
3.571667;0.156101;0.079861;1.024560;1.027362;1.050005
3.581667;0.156101;0.079861;1.024560;1.027362;1.050005
3.591667;0.156101;0.079861;1.024560;1.027362;1.050005
3.601667;0.156101;0.079861;1.024560;1.027362;1.050005
3.611667;0.156101;0.079861;1.024560;1.027362;1.050005
3.621667;0.156101;0.079861;1.024560;1.027362;1.050005
3.631667;0.156101;0.079861;1.024560;1.027362;1.050005
3.641667;0.156101;0.079861;1.024560;1.027362;1.050005
3.651667;0.156101;0.079861;1.024560;1.027362;1.050005
